episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
39,370.0,462,24089,0.25,0.05091116407179627,90.26794048800002,True,False
40,720.0,699,24788,0.25,0.05160561876105411,92.77588584700004,True,False
41,820.0,618,25406,0.25,0.059320413253524086,95.295784701,True,False
42,550.0,514,25920,0.25,0.05095932694772879,97.02174645299999,True,False
43,1170.0,784,26704,0.25,0.05806369945996118,99.59064699999999,True,False
44,1200.0,910,27614,0.25,0.05150775836128331,103.47383123999998,True,False
45,480.0,471,28085,0.25,0.05726160737291231,105.22615361400005,True,False
46,380.0,464,28549,0.25,0.06194271653858495,107.326603611,True,False
47,1390.0,729,29278,0.25,0.06186754217340642,109.77127750500006,True,False
48,1090.0,845,30123,0.25,0.05766001427590282,112.62345054499997,True,False
49,930.0,600,30723,0.25,0.06167396126935879,114.59244527600003,True,False
50,530.0,487,31210,0.25,0.06889325002834323,116.25803629300003,True,False
51,490.0,535,31745,0.25,0.06719203556039885,120.62312525300001,True,False
52,350.0,452,32197,0.25,0.06649312013512955,122.246833574,True,False
53,480.0,484,32681,0.25,0.06981156311528988,123.90596944699996,True,False
54,920.0,789,33470,0.25,0.07066174990823729,126.48607259599999,True,False
55,1220.0,662,34132,0.25,0.06397415798561401,128.71166838500005,True,False
56,220.0,356,34488,0.25,0.07207227462714308,130.077237481,True,False
57,320.0,461,34949,0.25,0.06677879675736893,132.21196804800002,True,False
58,890.0,737,35686,0.25,0.07390378929836594,134.68195385900003,True,False
59,570.0,486,36172,0.25,0.07378633561559388,136.34272831700002,True,False
60,330.0,433,36605,0.25,0.06146900841310896,137.83296407800003,True,False
61,250.0,401,37006,0.25,0.07030746095813811,139.24879660099998,True,False
62,390.0,530,37536,0.25,0.07287902881468374,141.03073654800005,True,False
63,610.0,580,38116,0.25,0.06500289688721814,143.27888631899998,True,False
64,850.0,771,38887,0.25,0.07325534056629597,146.256725437,True,False
65,510.0,551,39438,0.25,0.06461989837766126,148.109627446,True,False
66,370.0,450,39888,0.25,0.062407597116466644,149.68774718500003,True,False
67,200.0,338,40226,0.25,0.05723205055775387,150.90594604399996,True,False
68,390.0,606,40832,0.25,0.07442053241385638,152.93097732,True,False
69,580.0,507,41339,0.25,0.06223766861246929,154.66028052700005,True,False
70,340.0,471,41810,0.25,0.06964590604874794,156.77033249500005,True,False
71,380.0,425,42235,0.25,0.07564335201322189,158.39135446500006,True,False
72,890.0,743,42978,0.25,0.06799186247410954,160.84233905999997,True,False
73,430.0,524,43502,0.25,0.07056162908019228,162.57626681299996,True,False
74,340.0,457,43959,0.25,0.06950269295556243,164.13738026,True,False
75,510.0,534,44493,0.25,0.07610758338054058,165.92533379999998,True,False
76,1620.0,769,45262,0.25,0.0784789369693802,171.46781246299997,True,False
77,500.0,547,45809,0.25,0.07683739297934909,173.33389654799998,True,False
78,980.0,777,46586,0.25,0.07307140736062963,175.89637795400006,True,False
79,680.0,661,47247,0.25,0.06516130699239897,178.08425280899996,True,False
80,440.0,470,47717,0.25,0.05749662073676364,179.734765424,True,False
81,160.0,376,48093,0.25,0.0810034158540533,181.376269384,True,False
82,260.0,407,48500,0.25,0.08723208941884485,183.05641148899997,True,False
83,420.0,458,48958,0.25,0.07178062205447962,184.63546103,True,False
84,350.0,523,49481,0.25,0.07784639613503833,186.410836583,True,False
85,810.0,774,50255,0.25,0.08319483994665541,188.97918180700003,True,False
86,950.0,721,50976,0.25,0.0697253257118536,191.38392499400004,True,False
87,1680.0,924,51900,0.25,0.08640358043891011,194.9806856020001,True,False
